DiseaseName,DiseaseID,Sourse
Aase Smith syndrome,MESH:C535332,CTD
Aase Smith syndrome 2,MESH:C538442,CTD
abc disease,MESH:C579754,CTD
ABCD syndrome,MESH:C535334,CTD
Abderhalden-Kaufmann-Lignac syndrome,MESH:C535335,CTD
"Abdomen, Acute",MESH:D000006,CTD
Abdominal Abscess,MESH:D018784,CTD
Abdominal chemodectomas with cutaneous angiolipomas,MESH:C535552,CTD
Abdominal cystic lymphangioma,MESH:C535553,CTD
Abdominal Injuries,MESH:D000007,CTD
Abdominal Neoplasms,MESH:D000008,CTD
Abdominal obesity metabolic syndrome,MESH:C535554,CTD
Abdominal Pain,MESH:D015746,CTD
Abducens Nerve Diseases,MESH:D020434,CTD
Abducens Nerve Injury,MESH:D020222,CTD
Abducens Palsy,MESH:C564661,CTD
Aberrant Crypt Foci,MESH:D058739,CTD
Aberrant subclavian artery,MESH:C535555,CTD
Abetalipoproteinemia,MESH:D000012,CTD
Abetalipoproteinemia neuropathy,MESH:C540309,CTD
Abidi X-linked mental retardation syndrome,MESH:C535556,CTD
Ablepharon macrostomia syndrome,MESH:C535557,CTD
Abnormal fusion of dental cementum with alveolar bone,MESH:C536375,CTD
"Abnormalities, Drug-Induced",MESH:D000014,CTD
"Abnormalities, Multiple",MESH:D000015,CTD
"Abnormalities, Radiation-Induced",MESH:D000016,CTD
"Abnormalities, Severe Teratoid",MESH:D009008,CTD
Abnormal Karyotype,MESH:D059786,CTD
"Abortion, Habitual",MESH:D000026,CTD
"Abortion, Incomplete",MESH:D000027,CTD
"Abortion, Missed",MESH:D000030,CTD
"Abortion, Septic",MESH:D000031,CTD
"Abortion, Spontaneous",MESH:D000022,CTD
"Abortion, Threatened",MESH:D000033,CTD
"Abortion, Veterinary",MESH:D000034,CTD
Abrikosov's tumor,MESH:C535558,CTD
Abruptio Placentae,MESH:D000037,CTD
Abruzzo Erickson syndrome,MESH:C535559,CTD
Abscess,MESH:D000038,CTD
Absence of septum pellucidum,MESH:C535562,CTD
Absence of Tibia,MESH:C535563,CTD
Absence of tibia with polydactyly,MESH:C535564,CTD
Absent breasts and nipples,MESH:C535565,CTD
Absent corpus callosum cataract immunodeficiency,MESH:C535566,CTD
Absent duct of Santorini,MESH:C535567,CTD
Absent Eyebrows and Eyelashes with Mental Retardation,MESH:C563111,CTD
Absent patella,MESH:C535568,CTD
Absent radii and thrombocytopenia,MESH:C536940,CTD
Abuse dwarfism syndrome,MESH:C535569,CTD
Acalculous Cholecystitis,MESH:D042101,CTD
Acalvaria,MESH:C535570,CTD
Acanthamoeba Keratitis,MESH:D015823,CTD
Acanthocheilonemiasis,MESH:D063485,CTD
Acantholysis,MESH:D000051,CTD
Acanthoma,MESH:D049309,CTD
Acanthosis Nigricans,MESH:D000052,CTD
Acanthosis nigricans muscle cramps acral enlargement,MESH:C536000,CTD
Acatalasia,MESH:D020642,CTD
Accelerated Idioventricular Rhythm,MESH:D016170,CTD
Accessory Atrioventricular Bundle,MESH:D058606,CTD
Accessory deep peroneal nerve,MESH:C536001,CTD
Accessory navicular bone,MESH:C536002,CTD
Accessory Nerve Diseases,MESH:D020436,CTD
Accessory Nerve Injuries,MESH:D061227,CTD
Accessory pancreas,MESH:C536003,CTD
Accutane embryopathy,MESH:C535670,CTD
Acetylcarnitine deficiency,MESH:C536006,CTD
Acetyl-Coa Carboxylase Deficiency,MESH:C562678,CTD
Achalasia Addisonianism Alacrimia syndrome,MESH:C536008,CTD
"Achalasia, familial esophageal",MESH:C536011,CTD
Achalasia microcephaly,MESH:C536010,CTD
Achard syndrome,MESH:C536012,CTD
Achard-Thiers syndrome,MESH:C536013,CTD
Acheiropodia,MESH:C536014,CTD
Achlorhydria,MESH:D000126,CTD
Acholinesterasemia,MESH:C566750,CTD
Achondrogenesis,MESH:C579878,CTD
Achondrogenesis type 1A,MESH:C536015,CTD
Achondrogenesis type 1B,MESH:C536016,CTD
Achondrogenesis type 2,MESH:C536017,CTD
"Achondrogenesis, type 3",MESH:C536018,CTD
"Achondrogenesis, type 4",MESH:C536019,CTD
Achondroplasia,MESH:D000130,CTD
Achondroplasia and Swiss type agammaglobulinemia,MESH:C536020,CTD
Achondroplastic dwarfism,MESH:C531599,CTD
Achromatopsia 1,MESH:C536021,CTD
Achromatopsia 2,MESH:C536128,CTD
Achromatopsia 3,MESH:C536129,CTD
Achromatopsia 4,MESH:C564206,CTD
Achromatopsia 5,MESH:C567759,CTD
"Achromatopsia incomplete, X-linked",MESH:C538165,CTD
Acid-Base Imbalance,MESH:D000137,CTD
"Acidemia, isovaleric",MESH:C538167,CTD
Acidosis,MESH:D000138,CTD
"Acidosis, Lactic",MESH:D000140,CTD
"Acidosis, Renal Tubular",MESH:D000141,CTD
"Acidosis, Respiratory",MESH:D000142,CTD
Acid Phosphatase Deficiency,MESH:C562645,CTD
Acinetobacter Infections,MESH:D000151,CTD
Acitretin embryopathy,MESH:C538169,CTD
Ackerman syndrome,MESH:C538170,CTD
"Acne, Adult",MESH:C565791,CTD
Acne Conglobata,MESH:D000069316,CTD
Acneiform Eruptions,MESH:D017486,CTD
Acne Keloid,MESH:D000153,CTD
Acne Vulgaris,MESH:D000152,CTD
Acquired agranulocytosis,MESH:C538171,CTD
Acquired amegakaryocytic thrombocytopenia,MESH:C538172,CTD
Acquired angioedema,MESH:C538173,CTD
Acquired CJD,MESH:C538481,CTD
Acquired Hyperostosis Syndrome,MESH:D020083,CTD
Acquired hypoprothrombinemia,MESH:C538174,CTD
Acquired ichthyosis,MESH:C538175,CTD
Acquired Immunodeficiency Syndrome,MESH:D000163,CTD
Acquired Protein S Deficiency,MESH:C567077,CTD
Acquired pure megakaryocytic aplasia,MESH:C538176,CTD
Acrocallosal Syndrome,MESH:D055673,CTD
"Acrocallosal syndrome, Schinzel type",MESH:C538177,CTD
Acrocapitofemoral Dysplasia,MESH:C564334,CTD
Acrocephalopolydactylous Dysplasia,MESH:C573722,CTD
Acrocephalopolysyndactyly Type II,MESH:C563187,CTD
Acrocephalosyndactylia,MESH:D000168,CTD
Acrodermatitis,MESH:D000169,CTD
Acrodermatitis enteropathica,MESH:C538178,CTD
Acrodynia,MESH:D000170,CTD
Acrodysostosis,MESH:C538179,CTD
Acrodysplasia scoliosis,MESH:C538180,CTD
"Acrodysplasia with ossification abnormalities, short stature, and fibular hypoplasia",MESH:C538181,CTD
Acrofacial dysostosis Catania form,MESH:C538182,CTD
"Acrofacial dysostosis, Nager type",MESH:C538184,CTD
"Acrofacial dysostosis, Palagonia type",MESH:C538185,CTD
Acrofacial dysostosis Rodriguez type,MESH:C538183,CTD
Acrofrontofacionasal dysostosis syndrome,MESH:C538186,CTD
"Acrogeria, gottron type",MESH:C538187,CTD
"Acrokeratoderma, Hereditary Papulotranslucent",MESH:C566323,CTD
Acrokeratoelastoidosis of Costa,MESH:C535653,CTD
"Acroleukopathy, Symmetric",MESH:C566322,CTD
Acromegaloid facial appearance syndrome,MESH:C535655,CTD
"Acromegaloid features, overgrowth, cleft palate, and hernia",MESH:C535656,CTD
Acromegaly,MESH:D000172,CTD
Acromelic Frontonasal Dysostosis,MESH:C566345,CTD
Acromelic frontonasal dysplasia,MESH:C535657,CTD
Acromesomelic dysplasia,MESH:C535658,CTD
Acromesomelic dysplasia Campailla-Martinelli type,MESH:C535659,CTD
"ACROMESOMELIC DYSPLASIA, HUNTER-THOMPSON TYPE",OMIM:201250,CTD
"Acromesomelic dysplasia, Maroteaux type",MESH:C535661,CTD
Acromicric dysplasia,MESH:C535662,CTD
Acro-Osteolysis,MESH:D030981,CTD
Acroosteolysis dominant type,MESH:C535663,CTD
Acrootoocular Syndrome,MESH:C564866,CTD
Acropectoral syndrome,MESH:C535664,CTD
ACROPECTOROVERTEBRAL DYSPLASIA,OMIM:102510,CTD
"Acropectorovertebral Dysplasia, F-Form",MESH:C566319,CTD
Acrorenal mandibular syndrome,MESH:C535665,CTD
Acrorenal Syndrome,MESH:C563159,CTD
Acrorenal syndrome recessive,MESH:C535666,CTD
Acrospiroma,MESH:D018250,CTD
"ACTH Deficiency, Isolated",MESH:C562707,CTD
Acth-Independent Macronodular Adrenal Hyperplasia,MESH:C565662,CTD
ACTH-Secreting Pituitary Adenoma,MESH:D049913,CTD
"ACTH Syndrome, Ectopic",MESH:D000182,CTD
Actin-Accumulation Myopathy,MESH:C579880,CTD
Actinic cheilitis,MESH:C535669,CTD
Actinic Prurigo,MESH:C566780,CTD
Actinobacillosis,MESH:D000187,CTD
Actinobacillus Infections,MESH:D000189,CTD
Actinomycetales Infections,MESH:D000193,CTD
Actinomycosis,MESH:D000196,CTD
"Actinomycosis, Cervicofacial",MESH:D000197,CTD
Activated PI3K-delta Syndrome,MESH:C585640,CTD
Activated Protein C Resistance,MESH:D020016,CTD
Acute brachial neuritis,MESH:C538620,CTD
Acute cerebral Gaucher disease,MESH:C531689,CTD
Acute Chest Syndrome,MESH:D056586,CTD
Acute cholinergic dysautonomia,MESH:C535672,CTD
Acute Coronary Syndrome,MESH:D054058,CTD
Acute Disease,MESH:D000208,CTD
Acute erythroleukemia,MESH:C535673,CTD
Acute fatty liver of pregnancy,MESH:C537957,CTD
Acute Generalized Exanthematous Pustulosis,MESH:D056150,CTD
Acute Kidney Injury,MESH:D058186,CTD
Acute Lung Injury,MESH:D055371,CTD
Acute malaria,MESH:C531736,CTD
Acute-On-Chronic Liver Failure,MESH:D065290,CTD
Acute Pain,MESH:D059787,CTD
Acute-Phase Reaction,MESH:D000210,CTD
Acute Radiation Syndrome,MESH:D054508,CTD
Acute rheumatism,MESH:C538407,CTD
Acute Tubulointerstitial Nephritis,MESH:C564356,CTD
Acute zonal occult outer retinopathy,MESH:C538223,CTD
"Acyl-CoA Dehydrogenase Family, Member 9, Deficiency of",MESH:C567006,CTD
"Adactylia, Unilateral",MESH:C562417,CTD
Adamantinoma,MESH:D050398,CTD
Adamantinoma Of Long Bones,MESH:C562741,CTD
Adams Nance syndrome,MESH:C538224,CTD
Adams Oliver syndrome,MESH:C538225,CTD
Adams-Stokes Syndrome,MESH:D000219,CTD
Addison Disease,MESH:D000224,CTD
Adducted Thumbs Syndrome,MESH:C562949,CTD
Adenine Nucleotide Translocator Deficiency,MESH:C566309,CTD
Adenine phosphoribosyltransferase deficiency,MESH:C538228,CTD
Adenoameloblastoma,MESH:C538229,CTD
Adenocarcinoid tumor,MESH:C538230,CTD
Adenocarcinoma,MESH:D000230,CTD
"Adenocarcinoma, Bronchiolo-Alveolar",MESH:D002282,CTD
"Adenocarcinoma, Clear Cell",MESH:D018262,CTD
"Adenocarcinoma, Follicular",MESH:D018263,CTD
Adenocarcinoma in Situ,MESH:D065311,CTD
"Adenocarcinoma, Mucinous",MESH:D002288,CTD
Adenocarcinoma Of Esophagus,MESH:C562730,CTD
Adenocarcinoma of lung,MESH:C538231,CTD
"Adenocarcinoma, Papillary",MESH:D000231,CTD
"Adenocarcinoma, Scirrhous",MESH:D002293,CTD
"Adenocarcinoma, Sebaceous",MESH:D018266,CTD
Adenofibroma,MESH:D000232,CTD
Adenolymphoma,MESH:D000235,CTD
Adenoma,MESH:D000236,CTD
"Adenoma, Acidophil",MESH:D000239,CTD
"Adenoma, Basophil",MESH:D000237,CTD
"Adenoma, Bile Duct",MESH:D002759,CTD
"Adenoma, Chromophobe",MESH:D000238,CTD
"Adenoma, Islet Cell",MESH:D007516,CTD
"Adenoma, Liver Cell",MESH:D018248,CTD
"Adenoma, Oxyphilic",MESH:D018249,CTD
"Adenoma, Pleomorphic",MESH:D008949,CTD
"Adenoma, Sweat Gland",MESH:D006607,CTD
Adenomatoid Tumor,MESH:D018254,CTD
"Adenomatosis, Pulmonary",MESH:D018255,CTD
Adenomatous Polyposis Coli,MESH:D011125,CTD
"Adenomatous Polyposis Coli, Attenuated",MESH:C566778,CTD
Adenomatous Polyps,MESH:D018256,CTD
"Adenoma, Villous",MESH:D018253,CTD
Adenomyoepithelioma,MESH:D055331,CTD
Adenomyoma,MESH:D018194,CTD
Adenomyosis,MESH:D062788,CTD
Adenophorea Infections,MESH:D017188,CTD
Adenosarcoma,MESH:D018195,CTD
Adenosarcoma of the uterus,MESH:C538232,CTD
"Adenosine Deaminase, Elevated, Hemolytic Anemia Due To",MESH:C566314,CTD
Adenosine monophosphate deaminase deficiency,MESH:C538234,CTD
"Adenosine Triphosphatase Deficiency, Anemia Due To",MESH:C566311,CTD
"Adenosine Triphosphate, Elevated, Of Erythrocytes",MESH:C566310,CTD
Adenoviridae Infections,MESH:D000257,CTD
"Adenovirus Infections, Human",MESH:D000258,CTD
"Adenylate Kinase Deficiency, Hemolytic Anemia Due To",MESH:C567228,CTD
Adenylosuccinate lyase deficiency,MESH:C538235,CTD
Adie Syndrome,MESH:D000270,CTD
"ADIPONECTIN, SERUM LEVEL OF, QUANTITATIVE TRAIT LOCUS 2",OMIM:606770,CTD
"ADIPONECTIN, SERUM LEVEL OF, QUANTITATIVE TRAIT LOCUS 3",OMIM:606771,CTD
Adiposis Dolorosa,MESH:D000274,CTD
Adjustment Disorders,MESH:D000275,CTD
Adnexal Diseases,MESH:D000291,CTD
Adrenal Cortex Diseases,MESH:D000303,CTD
Adrenal Cortex Neoplasms,MESH:D000306,CTD
Adrenal Gland Diseases,MESH:D000307,CTD
Adrenal Gland Neoplasms,MESH:D000310,CTD
Adrenal hyperplasia 2,MESH:C538236,CTD
"Adrenal Hyperplasia, Congenital",MESH:D000312,CTD
"Adrenal hyperplasia, congenital, type 5",MESH:C538237,CTD
"ADRENAL HYPOPLASIA, CONGENITAL",OMIM:300200,CTD
"Adrenal Hypoplasia, Congenital, With Absent Pituitary Luteinizing Hormone",MESH:C565976,CTD
"Adrenal Hypoplasia, Congenital, with Precocious Puberty",MESH:C564568,CTD
Adrenal incidentaloma,MESH:C538238,CTD
Adrenal Insufficiency,MESH:D000309,CTD
"Adrenal Insufficiency, Congenital",MESH:C566130,CTD
"Adrenal Insufficiency, Congenital, With 46,Xy Sex Reversal",MESH:C566131,CTD
Adrenal Rest Tumor,MESH:D000314,CTD
Adrenocortical Adenoma,MESH:D018246,CTD
Adrenocortical Carcinoma,MESH:D018268,CTD
"Adrenocortical Carcinoma, Hereditary",MESH:C565972,CTD
"Adrenocortical Carcinoma, Pediatric",MESH:C565973,CTD
Adrenocortical Hyperfunction,MESH:D000308,CTD
"Adrenocortical Hypofunction, Chronic Primary Congenital",MESH:C562711,CTD
Adrenocortical Unresponsiveness To Acth With Postreceptor Defect,MESH:C565971,CTD
Adrenocorticotropic hormone deficiency,MESH:C535668,CTD
Adrenogenital Syndrome,MESH:D047808,CTD
Adrenoleukodystrophy,MESH:D000326,CTD
Adrenomyodystrophy,MESH:C538051,CTD
Adult i Blood Group with Congenital Cataract,MESH:C566214,CTD
Adult-onset citrullinemia type 2,MESH:C538053,CTD
"Advanced Sleep-Phase Syndrome, Familial",MESH:C565789,CTD
Aerobic actinomyces infection,MESH:C538054,CTD
Aerophagy,MESH:D000334,CTD
"Affective Disorders, Psychotic",MESH:D000341,CTD
Afferent Loop Syndrome,MESH:D000343,CTD
Afibrinogenemia,MESH:D000347,CTD
African Hemochromatosis,MESH:C579887,CTD
African Horse Sickness,MESH:D000355,CTD
African Swine Fever,MESH:D000357,CTD
Agammaglobulinemia,MESH:D000361,CTD
"AGAMMAGLOBULINEMIA 1, AUTOSOMAL RECESSIVE",OMIM:601495,CTD
"AGAMMAGLOBULINEMIA 4, AUTOSOMAL RECESSIVE",OMIM:613502,CTD
"AGAMMAGLOBULINEMIA 6, AUTOSOMAL RECESSIVE",OMIM:612692,CTD
"Agammaglobulinemia, microcephaly, and severe dermatitis",MESH:C538055,CTD
"Agammaglobulinemia, non-Bruton type",MESH:C538056,CTD
"Agammaglobulinemia, Non-Bruton Type, Autosomal Dominant",MESH:C563305,CTD
"Agammaglobulinemia, X-linked, type 2",MESH:C538057,CTD
"Aganglionosis, total intestinal",MESH:C538058,CTD
Agenesis of Corpus Callosum,MESH:D061085,CTD
Age-Related Hearing Impairment 1,MESH:C567305,CTD
Ageusia,MESH:D000370,CTD
Aggressive Periodontitis,MESH:D010520,CTD
"Aging, Premature",MESH:D019588,CTD
Agnathia-microstomia-synotia,MESH:C538059,CTD
Agnosia,MESH:D000377,CTD
"Agonadism, XY, with Mental Retardation, Short Stature, Retarded Bone Age, and Multiple Extragenital Malformations",MESH:C563429,CTD
Agoraphobia,MESH:D000379,CTD
Agranulocytosis,MESH:D000380,CTD
Agraphia,MESH:D000381,CTD
Agricultural Workers' Diseases,MESH:D000382,CTD
Aicardi-Goutieres syndrome,MESH:C535607,CTD
Aicardi-Goutieres Syndrome 3,MESH:C563683,CTD
Aicardi-Goutieres Syndrome 4,MESH:C563681,CTD
Aicardi-Goutieres syndrome 5,MESH:C535608,CTD
Aicardi Syndrome,MESH:D058540,CTD
AICAR TRANSFORMYLASE/IMP CYCLOHYDROLASE DEFICIENCY,OMIM:608688,CTD
AICAR Transformylase Inosine Monophosphate Cyclohydrolase Deficiency,MESH:C563876,CTD
"AIDS Arteritis, Central Nervous System",MESH:D020943,CTD
AIDS-Associated Nephropathy,MESH:D016263,CTD
AIDS Dementia Complex,MESH:D015526,CTD
AIDS-Related Complex,MESH:D000386,CTD
AIDS-related Kaposi sarcoma,MESH:C554498,CTD
AIDS-Related Opportunistic Infections,MESH:D017088,CTD
Ainhum,MESH:D000387,CTD
Airway Obstruction,MESH:D000402,CTD
Airway Remodeling,MESH:D056151,CTD
Akaba Hayasaka syndrome,MESH:C535609,CTD
"Akathisia, Drug-Induced",MESH:D017109,CTD
Akesson syndrome,MESH:C535610,CTD
Akinetic Mutism,MESH:D000405,CTD
Aksu von Stockhausen syndrome,MESH:C535611,CTD
Alacrima,MESH:C562827,CTD
"Alacrima, Congenital",MESH:C566307,CTD
Alagille Syndrome,MESH:D016738,CTD
Aland Island Eye Disease,MESH:C562664,CTD
"Alaninuria with Microcephaly, Dwarfism, Enamel Hypoplasia, and Diabetes Mellitus",MESH:C565968,CTD
Al Awadi syndrome,MESH:C535612,CTD
Albinism,MESH:D000417,CTD
Albinism deafness syndrome,MESH:C537042,CTD
"Albinism, minimal pigment type",MESH:C537044,CTD
"Albinism, Ocular",MESH:D016117,CTD
Albinism ocular late onset sensorineural deafness,MESH:C537043,CTD
"Albinism, Oculocutaneous",MESH:D016115,CTD
"Albinism, Oculocutaneous, Type I, Temperature-Sensitive",MESH:C564645,CTD
Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,MESH:C538539,CTD
Albright's hereditary osteodystrophy,MESH:C537045,CTD
Albuminuria,MESH:D000419,CTD
Alcohol Amnestic Disorder,MESH:D000425,CTD
Alcohol fetopathy,MESH:C576203,CTD
Alcoholic Intoxication,MESH:D000435,CTD
Alcoholic Neuropathy,MESH:D020269,CTD
Alcohol-Induced Disorders,MESH:D020751,CTD
"Alcohol-Induced Disorders, Nervous System",MESH:D020268,CTD
Alcohol induced encephalopathy,MESH:C538669,CTD
Alcoholism,MESH:D000437,CTD
Alcohol-Related Disorders,MESH:D019973,CTD
"ALCOHOL SENSITIVITY, ACUTE",OMIM:610251,CTD
Alcohol Withdrawal Delirium,MESH:D000430,CTD
Alcohol Withdrawal Seizures,MESH:D020270,CTD
Aldred syndrome,MESH:C537046,CTD
Aleutian Mink Disease,MESH:D000453,CTD
Alexander Disease,MESH:D038261,CTD
Alexanders leukodystrophy,MESH:C531607,CTD
"Alexia, Pure",MESH:D020237,CTD
Al Gazali Aziz Salem syndrome,MESH:C535613,CTD
Al Gazali Hirschsprung syndrome,MESH:C535615,CTD
Al Gazali Khidr Prem Chandran syndrome,MESH:C535616,CTD
Al Gazali Sabrinathan Nair syndrome,MESH:C535617,CTD
Al-Gazali Syndrome,MESH:C536817,CTD
Alice in Wonderland Syndrome,MESH:D062026,CTD
Alien Hand Syndrome,MESH:D055964,CTD
Aliivibrio Infections,MESH:D059707,CTD
Alkalosis,MESH:D000471,CTD
"Alkalosis, Respiratory",MESH:D000472,CTD
Alkaptonuria,MESH:D000474,CTD
Alkaptonuric ochronosis,MESH:C531762,CTD
Allan-Herndon-Dudley syndrome,MESH:C537047,CTD
Allanson Pantzar McLeod syndrome,MESH:C537048,CTD
Allesthesia,MESH:D066190,CTD
Aloi Tomasini Isaia syndrome,MESH:C537049,CTD
Alopecia,MESH:D000505,CTD
"Alopecia, Androgenetic, 2",MESH:C567473,CTD
"Alopecia, Androgenetic, 3",MESH:C567317,CTD
Alopecia Areata,MESH:D000506,CTD
Alopecia Areata 1,MESH:C566303,CTD
Alopecia Areata 2,MESH:C565186,CTD
Alopecia congenita keratosis palmoplantaris,MESH:C537050,CTD
Alopecia contractures dwarfism mental retardation,MESH:C537051,CTD
Alopecia epilepsy oligophrenia syndrome of Moynahan,MESH:C537052,CTD
"Alopecia, epilepsy, pyorrhea, mental subnormality",MESH:C537057,CTD
"Alopecia, Familial Focal",MESH:C566301,CTD
Alopecia hypogonadism extrapyramidal disorder,MESH:C537053,CTD
Alopecia-Mental Retardation Syndrome 1,MESH:C565965,CTD
Alopecia-Mental Retardation Syndrome 2,MESH:C563668,CTD
ALOPECIA-MENTAL RETARDATION SYNDROME 3,OMIM:613930,CTD
Alopecia-Mental Retardation Syndrome with Convulsions and Hypergonadotropic Hypogonadism,MESH:C563370,CTD
"Alopecia, Neurologic Defects, and Endocrinopathy Syndrome",MESH:C567425,CTD
Alopecia universalis,MESH:C537055,CTD
"Alopecia Universalis Congenita, XY Gonadal Dysgenesis, and Laryngomalacia",MESH:C563920,CTD
Alopecia universalis onychodystrophy vitiligo,MESH:C537056,CTD
alpha 1-Antitrypsin Deficiency,MESH:D019896,CTD
"alpha-1-Antitrypsin Deficiency, Autosomal Recessive",MESH:C566273,CTD
Alpha-2-Deficient Collagen Disease,MESH:C565963,CTD
alpha-2-Macroglobulin Deficiency,MESH:C566304,CTD
Alpha-B Crystallinopathy,MESH:C563848,CTD
Alpha-B Crystallinopathy with Cataract,MESH:C563849,CTD
"Alpha-Beta T-Cell Lymphopenia with Gamma-Delta T-Cell Expansion, Severe Cytomegalovirus Infection, and Autoimmunity",MESH:C563691,CTD
alpha-Fetoprotein Deficiency,MESH:C566300,CTD
Alpha-ketoglutarate dehydrogenase deficiency,MESH:C536582,CTD
alpha-Mannosidosis,MESH:D008363,CTD
Alpha-mannosidosis type 1,MESH:C536584,CTD
"Alpha-mannosidosis, type 2",MESH:C536585,CTD
"alpha-Mannosidosis, Type II",MESH:C565418,CTD
Alpha-Methylacyl-CoA Racemase Deficiency,MESH:C565768,CTD
alpha-Thalassemia,MESH:D017085,CTD
"Alpha-Thalassemia Mental Retardation Syndrome, Deletion-Type",MESH:C563050,CTD
Alpha-Thalassemia Myelodysplasia Syndrome,MESH:C563023,CTD
Alphavirus Infections,MESH:D018354,CTD
"Alport syndrome, dominant type",MESH:C536586,CTD
Alport Syndrome-Like Hereditary Nephritis,MESH:C562890,CTD
"Alport Syndrome, Mental Retardation, Midface Hypoplasia, and Elliptocytosis",MESH:C564570,CTD
"Alport syndrome, recessive type",MESH:C536587,CTD
"ALPORT SYNDROME, X-LINKED",OMIM:301050,CTD
Alsing syndrome,MESH:C536588,CTD
Alstrom Syndrome,MESH:D056769,CTD
Alternariosis,MESH:D060487,CTD
Alternating hemiplegia of childhood,MESH:C536589,CTD
Altitude Sickness,MESH:D000532,CTD
Alveolar Bone Loss,MESH:D016301,CTD
Alveolar capillary dysplasia,MESH:C536590,CTD
Alveolar echinococcosis,MESH:C536591,CTD
"Alveolitis, Extrinsic Allergic",MESH:D000542,CTD
Alves Castelo dos Santos syndrome,MESH:C536593,CTD
Alzheimer Disease,MESH:D000544,CTD
Alzheimer Disease 10,MESH:C566465,CTD
Alzheimer Disease 11,MESH:C565228,CTD
Alzheimer Disease 12,MESH:C567022,CTD
Alzheimer Disease 13,MESH:C567000,CTD
Alzheimer Disease 14,MESH:C566999,CTD
Alzheimer Disease 15,MESH:C566998,CTD
